DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS,section_number,description,country_name,country_code
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,740,2017,15533.25,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Suriname,740
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,740,2018,20865.13,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Suriname,740
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,740,2019,153764.63,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Suriname,740
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,740,2020,11847.1,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Suriname,740
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,740,2021,296252.0,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Suriname,740
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,740,2022,630703.24,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Suriname,740
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,740,2023,389178.89,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Suriname,740
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,740,2024,112302.14,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Suriname,740
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,882,2017,0.0,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Samoa,882
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,882,2019,5715.0,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Samoa,882
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,882,2021,25301.18,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Samoa,882
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,882,2022,72543.6,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Samoa,882
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,18,_Z,882,2023,979.53,,,,0,18,OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; CLOCKS AND WATCHES; MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,Samoa,882
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,20,_Z,208,2017,193132.98,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Denmark,208
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,20,_Z,208,2018,3642696.42,,,,0,20,MISCELLANEOUS MANUFACTURED ARTICLES,Denmark,208
