DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,GSA_TRANS,GSA_TYPE,ECON_VAR,ISIC,PRICES,EXPEND,BOP_ITEM,BOP_TYPE,INC_ITEM,PUB_ITEM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_NA_ISIC_CUR(3.4.0),AE,A,MILAED,FCSC,GDP,_Z,_Z,_Z,MN,CUR,_Z,_Z,_Z,_Z,_Z,2010,51861.20851,,,,0
FCSA:DF_NA_ISIC_CUR(3.4.0),AE,A,MILAED,FCSC,GDP,_Z,_Z,_Z,MN,CUR,_Z,_Z,_Z,_Z,_Z,2011,53889.97118,,,,0
FCSA:DF_NA_ISIC_CUR(3.4.0),AE,A,MILAED,FCSC,GDP,_Z,_Z,_Z,MN,CUR,_Z,_Z,_Z,_Z,_Z,2012,56391.37116,,,,0
FCSA:DF_NA_ISIC_CUR(3.4.0),AE,A,MILAED,FCSC,GDP,_Z,_Z,_Z,MN,CUR,_Z,_Z,_Z,_Z,_Z,2013,61878.44005,,,,0
FCSA:DF_NA_ISIC_CUR(3.4.0),AE,A,MILAED,FCSC,GDP,_Z,_Z,_Z,MN,CUR,_Z,_Z,_Z,_Z,_Z,2014,66834.82002,,,,0
FCSA:DF_NA_ISIC_CUR(3.4.0),AE,A,MILAED,FCSC,GDP,_Z,_Z,_Z,MN,CUR,_Z,_Z,_Z,_Z,_Z,2015,70207.57486,,,,0
FCSA:DF_NA_ISIC_CUR(3.4.0),AE,A,MILAED,FCSC,GDP,_Z,_Z,_Z,MN,CUR,_Z,_Z,_Z,_Z,_Z,2016,74286.5071,,,,0
FCSA:DF_NA_ISIC_CUR(3.4.0),AE,A,MILAED,FCSC,GDP,_Z,_Z,_Z,MN,CUR,_Z,_Z,_Z,_Z,_Z,2017,73399.58404,,,,0
FCSA:DF_NA_ISIC_CUR(3.4.0),AE,A,MILAED,FCSC,GDP,_Z,_Z,_Z,MN,CUR,_Z,_Z,_Z,_Z,_Z,2018,77037.53898,,,,0
FCSA:DF_NA_ISIC_CUR(3.4.0),AE,A,MILAED,FCSC,GDP,_Z,_Z,_Z,MN,CUR,_Z,_Z,_Z,_Z,_Z,2019,80628.31105,,,,0
