DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-01,449831366.59,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-02,404905400.68,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-03,380620882.23,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-04,372156327.73,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-05,536397963.65,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-06,527848454.77,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-07,606554147.19,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-08,659371536.82,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-09,571385228.65,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-10,753471580.05,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-11,629298907.60,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2017-12,920907935.77,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-01,695724306.49,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-02,603366230.46,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-03,913468189.06,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-04,645521197.52,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-05,1051740899.74,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-06,1452794177.11,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-07,7930768029.65,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-08,1136711006.31,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-09,601670196.62,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-10,2006811617.68,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-11,1095615309.77,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2018-12,358543788.75,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2019-01,2701000281.96,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2019-02,176817861.08,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2019-03,173002410.55,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2019-04,214272452.44,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2019-05,228974808.70,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2019-06,217858430.05,,,,0
FCSA:DF_TRADE_IMP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,IMP,_Z,_Z,364,2019-07,141095284.24,,,,0
