DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-01,866541724.77,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-02,1189011409.21,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-03,1094557081.52,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-04,1062640742.03,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-05,1035232379.58,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-06,699504497.18,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-07,980657724.82,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-08,1055756287.19,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-09,717335591.20,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-10,796564517.18,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-11,1392896630.21,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2017-12,1238302942.98,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-01,975801555.99,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-02,706948554.20,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-03,770068339.04,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-04,831832380.00,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-05,717565928.06,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-06,810386731.31,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-07,795471840.49,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-08,611731525.40,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-09,702184576.86,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-10,1033765906.13,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-11,761646238.11,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2018-12,894253481.55,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2019-01,797796190.28,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2019-02,612166056.91,,,,0
FCSA:DF_TRADE_SECT_MTH(5.1.0),AE,M,AED,FCSC,MTH_SEC,REEXP,4,_Z,_Z,2019-03,659070751.49,,,,0
