DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,NOEXP,_Z,53,_Z,2017,37480.00,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,NOEXP,_Z,53,_Z,2018,22190.67,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,NOEXP,_Z,53,_Z,2019,0.00,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,NOEXP,_Z,53,_Z,2020,39022.30,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,NOEXP,_Z,53,_Z,2021,118397.05,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,NOEXP,_Z,53,_Z,2022,328167.75,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,NOEXP,_Z,53,_Z,2023,406143.95,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,NOEXP,_Z,53,_Z,2024,704139.11,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,67,_Z,2017,191707250.62,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,67,_Z,2018,184525130.60,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,67,_Z,2019,214424239.11,,,,0
FCSA:DF_TRADE_TOT_CHAP_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,67,_Z,2020,204442135.71,,,,0
