DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2017-02,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2017-03,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2017-04,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2017-05,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2017-06,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2017-08,1141.14,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2017-10,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2018-03,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2018-04,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2018-10,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2018-12,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2019-01,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2019-02,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2019-03,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2019-08,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-01,9402.67,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-02,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-04,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-05,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-06,36930.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-07,162053.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-08,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-09,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-10,81.91,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-11,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2020-12,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2021-01,161417.76,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2021-02,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2021-03,8170.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2021-04,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2021-05,44652.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2021-06,0.00,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2021-07,128060.82,,,,0
FCSA:DF_TRADE_EXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,NOEXP,_Z,_Z,580,2021-08,4700.00,,,,0
