DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-01,224421.67,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-02,57049.83,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-03,74666.25,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-04,126023.61,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-05,4407.60,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-06,3268.31,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-07,89490.23,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-08,86320.18,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-09,2068.08,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-10,33718.46,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-11,1768143.19,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2017-12,1549561.19,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-01,719651.24,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-02,909121.57,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-03,136931.38,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-04,2261284.18,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-05,1201152.96,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-06,350474.01,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-07,867203.04,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-08,778774.16,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-09,38215.35,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-10,178816.42,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-11,266190.57,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2018-12,47231.01,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-01,1130081.31,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-02,1021483.98,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-03,562915.62,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-04,68504.92,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-05,10546.41,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-06,0.00,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-07,390682.87,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-08,3762.40,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-09,32296.53,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-10,130667.05,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-11,28036.18,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2019-12,38271.13,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-01,546654.00,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-02,944584.74,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-03,154813.23,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-04,185776.54,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-05,151372.76,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-06,168778.62,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-07,240539.58,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-08,187935.86,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-09,205873.37,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-10,140628.88,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-11,169086.43,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2020-12,169849.02,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2021-01,235278.26,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2021-02,153067.59,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2021-03,133920.62,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2021-04,184105.56,,,,0
FCSA:DF_TRADE_REXP_COUNTRY_MTH(5.1.0),AE,M,AED,FCSC,MTH_CNT,REEXP,_Z,_Z,352,2021-05,208665.82,,,,0
