DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,TTRADE,9,_Z,_Z,2017,5458817848.64,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,TTRADE,9,_Z,_Z,2018,5779635376.61,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,TTRADE,9,_Z,_Z,2019,5063864448.16,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,TTRADE,9,_Z,_Z,2020,3920002208.13,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,TTRADE,9,_Z,_Z,2021,5220465643.52,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,TTRADE,9,_Z,_Z,2022,5986965981.27,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,TTRADE,9,_Z,_Z,2023,5767831948.27,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,TTRADE,9,_Z,_Z,2024,6500137235.92,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,NOEXP,11,_Z,_Z,2017,2004322561.09,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,NOEXP,11,_Z,_Z,2018,2595900321.70,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,NOEXP,11,_Z,_Z,2019,2574767852.43,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,NOEXP,11,_Z,_Z,2020,2230200893.36,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,NOEXP,11,_Z,_Z,2021,2804548657.65,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,NOEXP,11,_Z,_Z,2022,2743667158.68,,,,0
FCSA:DF_TRADE_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_SECT,NOEXP,11,_Z,_Z,2023,2746427654.71,,,,0
