DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,19,_Z,156,2017,430003493.01,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,19,_Z,156,2018,1393837.48,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,19,_Z,156,2019,1605330.96,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,19,_Z,156,2020,402476.43,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,19,_Z,156,2021,1727646.56,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,19,_Z,156,2022,14823428.78,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,19,_Z,156,2023,2391659.54,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,19,_Z,156,2024,3373244.52,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,788,2017,16102483.06,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,788,2018,5937696.18,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,788,2019,11095039.54,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,788,2020,9916053.24,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,788,2021,11098719.06,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,788,2022,9798037.18,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,788,2023,9908374.80,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,788,2024,13275787.71,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,638,2017,310085.10,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,638,2018,659831.60,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,638,2019,2648497.50,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,638,2020,834502.45,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,638,2021,509247.20,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,638,2022,1116655.68,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,638,2023,629344.20,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,638,2024,34134952.05,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,466,2017,2330255.63,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,466,2018,3842827.94,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,466,2019,2747676.71,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,466,2020,3757995.97,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,466,2021,7179138.97,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,466,2022,7960011.11,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,466,2023,8060091.73,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,20,_Z,466,2024,6595945.39,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,21,_Z,706,2017,799690.35,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,21,_Z,706,2018,140430.00,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,21,_Z,706,2019,7458.73,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,21,_Z,706,2020,26307.90,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,21,_Z,706,2021,10000.00,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,21,_Z,706,2022,67810.97,,,,0
FCSA:DF_TRADE_TOT_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,TTRADE,21,_Z,706,2023,252773.50,,,,0
