DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TNOEXP,_Z,_T,_Z,2017,581346851928.15,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TNOEXP,_Z,_T,_Z,2018,637600892337.66,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TNOEXP,_Z,_T,_Z,2019,688647019434.66,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TNOEXP,_Z,_T,_Z,2020,618054711586.35,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TNOEXP,_Z,_T,_Z,2021,794892287368.43,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TNOEXP,_Z,_T,_Z,2022,951144833162.98,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TNOEXP,_Z,_T,_Z,2023,1037064553909.19,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TNOEXP,_Z,_T,_Z,2024,1167719906048.21,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,IMP,_Z,_T,_Z,2017,946465785212.27,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,IMP,_Z,_T,_Z,2018,898481021408.60,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,IMP,_Z,_T,_Z,2019,914851515787.64,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,IMP,_Z,_T,_Z,2020,785112063871.01,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,IMP,_Z,_T,_Z,2021,991633483636.80,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,IMP,_Z,_T,_Z,2022,1215953963848.94,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,IMP,_Z,_T,_Z,2023,1439029666137.40,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,IMP,_Z,_T,_Z,2024,1633062365673.75,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,_T,_Z,2017,1527812637140.41,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,_T,_Z,2018,1536081913746.26,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,_T,_Z,2019,1603498535222.29,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,_T,_Z,2020,1403166775457.36,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,_T,_Z,2021,1786525771005.24,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,_T,_Z,2022,2167098797011.92,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,_T,_Z,2023,2476094220046.60,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,TTRADE,_Z,_T,_Z,2024,2800782271721.96,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,REEXP,_Z,_T,_Z,2017,400308311809.00,,,,0
FCSA:DF_TRADE_TOT_YR(5.1.0),AE,A,AED,FCSC,ANN_CHAP,REEXP,_Z,_T,_Z,2018,431551385546.30,,,,0
